MSE,RMSE,MAE,R2_Score,Directional_Accuracy,Model,Fold,Stock
0.0009466457255481,0.0307676083820013,0.0185637988001309,-0.0053620335839974,0.5396825396825397,Transformer,14,AAPL
0.0009198340145949,0.0303287654644063,0.0180655939995147,0.0231126909304986,0.6349206349206349,Stacked_Ensemble,14,AAPL
0.0003535251157214,0.0188022635797253,0.013316635038574,-0.4993627512896046,0.5555555555555556,Naive,15,AAPL
0.0002955011938974,0.0171901481639178,0.0126390408735914,-0.2532730020814613,0.4603174603174603,Ridge_Regression,15,AAPL
0.0002558710220664,0.0159959689317801,0.0111748341318934,-0.0851944106939661,0.4603174603174603,Random_Forest,15,AAPL
0.000283574267665,0.0168396635258857,0.0119875595293741,-0.2026887914130122,0.4285714285714285,XGBoost,15,AAPL
0.0002468714806733,0.0157121443690348,0.0108947683832635,-0.0470257586140687,0.492063492063492,LSTM,15,AAPL
0.0002389532065418,0.0154581113510638,0.0109533060831097,-0.0134429528690052,0.5238095238095238,GRU,15,AAPL
0.0002422100631921,0.0155630994082847,0.0108582566245664,-0.0272558598748533,0.5238095238095238,Transformer,15,AAPL
0.0002539695407329,0.0159364218296641,0.0112659395773526,-0.0771298909274615,0.4126984126984127,Stacked_Ensemble,15,AAPL
0.0001967022020272,0.0140250562218926,0.0106512507393534,-0.6531309932706704,0.5396825396825397,Naive,16,AAPL
0.0001681459674125,0.0129671109894451,0.0094519843233695,-0.4131377648976297,0.4444444444444444,Ridge_Regression,16,AAPL
0.000265880391976,0.0163058391987677,0.0124729803092774,-1.2345205694123726,0.4603174603174603,Random_Forest,16,AAPL
0.0001587623239916,0.0126000922215519,0.0093722067655811,-0.3342754460769008,0.4285714285714285,XGBoost,16,AAPL
0.0001197838051273,0.0109445788008195,0.007668434606885,-0.0066909201173093,0.5714285714285714,LSTM,16,AAPL
0.0001199054668161,0.0109501354702188,0.0076519288271706,-0.0077133932079682,0.5714285714285714,GRU,16,AAPL
0.0001188045433544,0.0108997496922834,0.0075967390421812,0.0015390232724667,0.5714285714285714,Transformer,16,AAPL
0.0001252484938948,0.0111914473547835,0.0079472520293103,-0.0526174337867033,0.4603174603174603,Stacked_Ensemble,16,AAPL
0.0004242011151375,0.0205961432102593,0.0155187254239841,-0.7814374267417472,0.5714285714285714,Naive,17,AAPL
0.0002588469891252,0.0160887224205408,0.0117423527714672,-0.0870308864642854,0.5238095238095238,Ridge_Regression,17,AAPL
0.0013755963650902,0.0370890329489757,0.033047404728409,-4.776832642382904,0.492063492063492,Random_Forest,17,AAPL
0.0007954749158146,0.0282041648664629,0.0242671353149688,-2.340605992058834,0.4603174603174603,XGBoost,17,AAPL
0.0002426734406473,0.0155779793505894,0.0111771954813216,-0.019109884954727,0.4761904761904761,LSTM,17,AAPL
0.0002404819266514,0.0155074797001799,0.0111342419097034,-0.0099065969052367,0.4761904761904761,GRU,17,AAPL
